date,value
2021-01-04,5207.559787428118
2021-01-05,5190.901454848786
2021-01-06,5166.169469567039
2021-01-07,5230.481139103156
2021-01-08,5222.758602613417
2021-01-11,5234.383859266585
2021-01-12,5262.513015826524
2021-01-13,5245.372386598354
2021-01-14,5214.929299857263
2021-01-15,5121.431948958998
2021-01-18,5120.1733937151
2021-01-19,5115.421899839185
2021-01-20,5101.6559252167
2021-01-21,5083.6461064310915
2021-01-22,5019.774103512161
2021-01-25,4961.160152883459
2021-01-26,4996.441308497158
2021-01-27,4940.271303081485
2021-01-28,4998.609219885781
2021-01-29,5079.313095025919
2021-02-01,5146.44876903368
2021-02-02,5098.932988276539
2021-02-03,5097.427137816471
2021-02-04,5107.863402051238
2021-02-05,5071.560000881026
2021-02-08,5036.856188076991
2021-02-09,5067.643959586969
2021-02-10,5183.972533824719
2021-02-11,5102.742740966785
2021-02-12,5157.5037592414055
2021-02-15,5129.014184360842
2021-02-16,5212.622775330734
2021-02-17,5209.366618055663
2021-02-18,5178.70545282277
2021-02-19,5162.264579189108
2021-02-22,5204.238889612713
2021-02-23,5217.416531736559
2021-02-24,5242.872049557938
2021-02-25,5306.140878474224
2021-02-26,5303.4898817183985
2021-03-01,5370.006348714831
2021-03-02,5302.438974665453
2021-03-03,5208.243023611918
2021-03-04,5230.406114161208
2021-03-05,5147.279694880811
2021-03-08,5100.529689530921
2021-03-09,5145.232716470695
2021-03-10,5160.483353758708
2021-03-11,5169.771659220294
2021-03-12,5190.244384360849
2021-03-15,5196.139192937865
2021-03-16,5309.289362448128
2021-03-17,5355.163419165156
2021-03-18,5447.595738120433
2021-03-19,5356.178355479277
2021-03-22,5369.910940794551
2021-03-23,5332.335571034104
2021-03-24,5386.705122613104
2021-03-25,5321.6230825845105
2021-03-26,5386.625381914528
2021-03-29,5336.3516019203635
2021-03-30,5292.4393307216005
2021-03-31,5207.365268800685
2021-04-01,5288.854022471425
2021-04-02,5301.321701143001
2021-04-05,5221.763635410931
2021-04-06,5107.5254316563005
2021-04-07,5101.119925402721
2021-04-08,5095.18563607135
2021-04-09,5039.468546395828
2021-04-12,5025.181407778729
2021-04-13,5038.708814288578
2021-04-14,4979.853967774476
2021-04-15,5028.027068115515
2021-04-16,5006.645899516827
2021-04-19,5082.075705901318
2021-04-20,5054.4848472987305
2021-04-21,5049.150029014612
2021-04-22,4987.760951742075
2021-04-23,5068.031527520842
2021-04-26,5122.4032195992295
2021-04-27,5149.918529517711
2021-04-28,5113.398149438581
2021-04-29,5101.137537609748
2021-04-30,5130.2759361625685
2021-05-03,5181.486597093657
2021-05-04,5163.045055161642
2021-05-05,5249.438003004165
2021-05-06,5239.38673335939
2021-05-07,5156.617894613435
2021-05-10,5109.2582573156615
2021-05-11,5070.677606816517
2021-05-12,5081.11423027835
2021-05-13,5022.584218599369
2021-05-14,5019.07733321787
2021-05-17,4935.030241349915
2021-05-18,4842.318902043303
2021-05-19,4748.314991976181
2021-05-20,4731.453927813455
2021-05-21,4722.773088693182
2021-05-24,4725.411862382752
2021-05-25,4702.817708409048
2021-05-26,4765.85631132062
2021-05-27,4708.523130995926
2021-05-28,4627.522921229568
2021-05-31,4620.070047199005
2021-06-01,4575.299608061474
2021-06-02,4588.571745199704
2021-06-03,4579.173647589628
2021-06-04,4621.209659437212
2021-06-07,4689.061407344383
2021-06-08,4739.042097633347
2021-06-09,4725.581736459941
2021-06-10,4680.48191910088
2021-06-11,4754.526235815116
2021-06-14,4777.262978954726
2021-06-15,4857.078418430237
2021-06-16,4840.718927607384
2021-06-17,4881.949918976072
2021-06-18,4912.93049649429
2021-06-21,4988.036173536803
2021-06-22,5090.497568407745
2021-06-23,5195.1974872536075
2021-06-24,5218.678237304094
2021-06-25,5213.037958833583
2021-06-28,5188.2664027136825
2021-06-29,5158.387861175925
2021-06-30,5132.793269752579
2021-07-01,5181.5460324169035
2021-07-02,5262.924820459572
2021-07-05,5273.860034371422
2021-07-06,5301.159165976304
2021-07-07,5293.6169254135975
2021-07-08,5362.260437754749
2021-07-09,5322.285487091542
2021-07-12,5404.790017114301
2021-07-13,5287.070799956721
2021-07-14,5265.827989627845
2021-07-15,5221.070945100696
2021-07-16,5271.397046393632
2021-07-19,5258.279226673451
2021-07-20,5292.673298390491
2021-07-21,5245.4255911748305
2021-07-22,5234.37921696389
2021-07-23,5327.200418757063
2021-07-26,5338.160855273825
2021-07-27,5284.252955947638
2021-07-28,5335.715264180413
2021-07-29,5410.175069889326
2021-07-30,5369.524969998268
2021-08-02,5367.838395581867
2021-08-03,5432.218367354299
2021-08-04,5420.090347917387
2021-08-05,5431.436600685428
2021-08-06,5463.901796575467
2021-08-09,5333.059515993522
2021-08-10,5325.57709705497
2021-08-11,5352.688087831689
2021-08-12,5354.478302366904
2021-08-13,5292.780998139081
2021-08-16,5190.3379774454925
2021-08-17,5167.37678539515
2021-08-18,5139.270731660453
2021-08-19,5143.996905572913
2021-08-20,5225.725861832543
2021-08-23,5255.029085467771
2021-08-24,5371.733142898884
2021-08-25,5275.8758041420315
2021-08-26,5270.272824553818
2021-08-27,5276.2362424414505
2021-08-30,5131.181275838881
2021-08-31,5106.385074487097
2021-09-01,5109.54172920916
2021-09-02,5118.2818140764675
2021-09-03,5145.058969115232
2021-09-06,5159.5324190204765
2021-09-07,5134.921571999238
2021-09-08,5164.003942896799
2021-09-09,5209.242120155958
2021-09-10,5226.566135056364
2021-09-13,5310.247292873579
2021-09-14,5350.151265946971
2021-09-15,5329.684749185004
2021-09-16,5390.226192456951
2021-09-17,5331.019062886454
2021-09-20,5233.718343642603
2021-09-21,5345.943007600053
2021-09-22,5309.4111445121935
2021-09-23,5280.373264129657
2021-09-24,5307.163410204996
2021-09-27,5250.154152636164
2021-09-28,5264.78058686359
2021-09-29,5209.690995878938
2021-09-30,5261.695188192715
2021-10-01,5309.721113024834
2021-10-04,5305.03733295733
2021-10-05,5158.30827125623
2021-10-06,5157.405572838137
2021-10-07,5185.348138467011
2021-10-08,5178.041214024285
2021-10-11,5205.958322467909
2021-10-12,5245.011285266003
2021-10-13,5266.362779221342
2021-10-14,5124.877906944145
2021-10-15,5110.976883368898
2021-10-18,5118.265717666408
2021-10-19,5096.874968225703
2021-10-20,5104.287994889321
2021-10-21,5090.185161686014
2021-10-22,5194.208961755295
2021-10-25,5176.683784096498
2021-10-26,5170.412160343051
2021-10-27,5210.169596132902
2021-10-28,5245.039864040561
2021-10-29,5174.046358123611
2021-11-01,5174.238665049976
2021-11-02,5114.2864827679205
2021-11-03,5091.349437410028
2021-11-04,5030.818799527267
2021-11-05,4985.671759769759
2021-11-08,5009.740680852618
