date,value
2021-01-04,1357.6588185490336
2021-01-05,1372.3677713956697
2021-01-06,1414.0947030520404
2021-01-07,1437.3441718949077
2021-01-08,1427.0731466586535
2021-01-11,1441.0912601348723
2021-01-12,1445.099743379269
2021-01-13,1438.9677308233368
2021-01-14,1410.3077357365503
2021-01-15,1426.0611187446207
2021-01-18,1434.3845884384943
2021-01-19,1423.6002075577364
2021-01-20,1411.4633859089683
2021-01-21,1441.6567949021905
2021-01-22,1430.7581515834636
2021-01-25,1440.2961066998348
2021-01-26,1413.2499464420118
2021-01-27,1418.368397874897
2021-01-28,1412.4349705942257
2021-01-29,1406.3164145439064
2021-02-01,1429.3387306993448
2021-02-02,1457.2378899731925
2021-02-03,1448.6328769413294
2021-02-04,1450.423464902983
2021-02-05,1426.7769675148177
2021-02-08,1425.98103909912
2021-02-09,1412.670471377584
2021-02-10,1392.8135453229493
2021-02-11,1392.1673574896706
2021-02-12,1385.9278525557493
2021-02-15,1346.9101793953748
2021-02-16,1357.9340037051347
2021-02-17,1372.7703425191835
2021-02-18,1394.7689548870896
2021-02-19,1390.5889288939184
2021-02-22,1375.4093929303444
2021-02-23,1399.43697493106
2021-02-24,1380.7937511481932
2021-02-25,1387.6095431867632
2021-02-26,1410.7237360457461
2021-03-01,1408.54811524725
2021-03-02,1393.687701240955
2021-03-03,1415.972865251532
2021-03-04,1376.712947226226
2021-03-05,1387.6554533787523
2021-03-08,1385.2888560685662
2021-03-09,1401.9409690939685
2021-03-10,1420.2722936468415
2021-03-11,1412.6988936763469
2021-03-12,1414.0227824148178
2021-03-15,1406.133198243931
2021-03-16,1418.774279385209
2021-03-17,1404.6080731585523
2021-03-18,1382.1331007525316
2021-03-19,1377.1240283730021
2021-03-22,1370.2033923352124
2021-03-23,1394.0466637731909
2021-03-24,1436.8262186036661
2021-03-25,1417.5520016595265
2021-03-26,1431.652392756126
2021-03-29,1413.2659946519036
2021-03-30,1401.6083213239726
2021-03-31,1425.9100234961898
2021-04-01,1420.7847060211725
2021-04-02,1418.7650882447726
2021-04-05,1431.3260486524212
2021-04-06,1429.9737525552791
2021-04-07,1388.2774934987428
2021-04-08,1372.9163139986938
2021-04-09,1384.6992305262686
2021-04-12,1401.0664992533825
2021-04-13,1390.884068061575
2021-04-14,1342.3142113330236
2021-04-15,1354.0195713462795
2021-04-16,1353.6889622296792
