date,value
2021-01-04,0.0498218600349925
2021-01-05,0.0498471624698776
2021-01-06,0.0500735966852739
2021-01-07,0.050050139414842175
2021-01-08,0.04979578591119694
2021-01-11,0.04923133250686386
2021-01-12,0.04895457500616237
2021-01-13,0.04904489177954679
2021-01-14,0.049390753202306216
2021-01-15,0.04878085735668986
2021-01-18,0.048425776803543104
2021-01-19,0.04794563756001914
2021-01-20,0.0482722384389355
2021-01-21,0.04845269604974256
2021-01-22,0.048666141970014884
2021-01-25,0.0485801572993023
2021-01-26,0.04853597427955432
2021-01-27,0.04908627335144665
2021-01-28,0.04871533497165798
2021-01-29,0.04857174803211974
2021-02-01,0.04888835675698243
2021-02-02,0.04885910753129444
2021-02-03,0.049248619212218736
2021-02-04,0.049761178640814925
2021-02-05,0.05001166108445578
2021-02-08,0.04948893619794893
2021-02-09,0.04929611336876282
2021-02-10,0.049511594588540084
2021-02-11,0.04930460886629673
2021-02-12,0.048463997706552714
2021-02-15,0.04811426619284412
2021-02-16,0.04742512615258917
2021-02-17,0.04725229291757541
2021-02-18,0.04700668119791275
2021-02-19,0.0475074886410123
2021-02-22,0.047343758031222205
2021-02-23,0.047006988635767494
2021-02-24,0.0473424964806247
2021-02-25,0.04741259609921132
2021-02-26,0.0473897580135813
2021-03-01,0.047519145522859824
2021-03-02,0.04755904427203641
2021-03-03,0.047191162755692205
2021-03-04,0.04688175734404615
2021-03-05,0.04620174163481792
2021-03-08,0.046632591338682604
2021-03-09,0.04647543887162084
2021-03-10,0.046617628135549954
2021-03-11,0.046295547597076124
2021-03-12,0.046019610256036375
2021-03-15,0.04555052263616082
2021-03-16,0.045874471435252626
2021-03-17,0.04646838020367001
2021-03-18,0.046291825782830545
2021-03-19,0.04595376481526138
2021-03-22,0.045762687391006036
2021-03-23,0.04570756624005132
2021-03-24,0.04600270972497104
2021-03-25,0.04596966233292134
2021-03-26,0.04641303346446397
2021-03-29,0.04694513179272363
2021-03-30,0.046767701572203994
2021-03-31,0.04732067389660677
2021-04-01,0.04708730021521447
2021-04-02,0.046731657087853484
2021-04-05,0.046547866020712585
2021-04-06,0.04689666367851478
2021-04-07,0.046645055987045624
2021-04-08,0.046815725297227447
2021-04-09,0.04641968849619743
2021-04-12,0.04593889326431679
2021-04-13,0.0459136091517861
2021-04-14,0.04582601596776293
2021-04-15,0.04562765240407672
2021-04-16,0.04582849191809427
2021-04-19,0.04513873688613734
2021-04-20,0.04548678944757673
2021-04-21,0.0453960625392619
2021-04-22,0.04461031859806551
2021-04-23,0.044506762212534676
2021-04-26,0.044818426514973114
2021-04-27,0.04472447622614834
2021-04-28,0.044906778363818185
2021-04-29,0.04423138116103284
2021-04-30,0.044547100634468234
2021-05-03,0.044722616313699864
2021-05-04,0.044499409287495774
2021-05-05,0.04455666693076138
2021-05-06,0.04528710084443726
2021-05-07,0.04471555871074985
